Promote v2 -> legacy started 2026-06-04 21:44:07.694472
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED narrator_384
PROMOTED narrator_385
PROMOTED toa_383
PROMOTED kaoru_510
PROMOTED narrator_386
PROMOTED toa_384
PROMOTED kaoru_511
PROMOTED narrator_387
PROMOTED kaoru_512
PROMOTED narrator_388
PROMOTED toa_385
PROMOTED kaoru_513
PROMOTED narrator_389
PROMOTED kaoru_514
PROMOTED toa_386
PROMOTED kaoru_515
PROMOTED narrator_390
PROMOTED kaoru_516
PROMOTED toa_387
PROMOTED kaoru_517
PROMOTED toa_388
PROMOTED kaoru_518
PROMOTED narrator_391
PROMOTED kaoru_519
PROMOTED toa_389
PROMOTED kaoru_520
PROMOTED toa_390
PROMOTED kaoru_521
PROMOTED narrator_392
PROMOTED narrator_393
PROMOTED kaoru_522
PROMOTED toa_391
PROMOTED narrator_394
PROMOTED toa_392
PROMOTED kaoru_523
PROMOTED narrator_395
PROMOTED narrator_396
PROMOTED kaoru_524
PROMOTED toa_393
PROMOTED kaoru_525
PROMOTED narrator_397
PROMOTED kaoru_526
PROMOTED toa_394
PROMOTED kaoru_527
PROMOTED toa_395
PROMOTED kaoru_528
PROMOTED narrator_398
PROMOTED kaoru_529
PROMOTED toa_396
PROMOTED kaoru_530
PROMOTED narrator_399
Promoted count: 51
Skipped (no v2): 0
Errors: 0
