Promote v2 -> legacy started 2026-06-07 14:55:37.816219
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
SKIP missing v2 narrator_537
SKIP missing v2 narrator_538
SKIP missing v2 narrator_539
SKIP missing v2 narrator_540
SKIP missing v2 narrator_541
SKIP missing v2 narrator_542
SKIP missing v2 narrator_543
SKIP missing v2 narrator_544
SKIP missing v2 narrator_545
SKIP missing v2 narrator_546
SKIP missing v2 narrator_547
SKIP missing v2 narrator_548
SKIP missing v2 narrator_549
SKIP missing v2 narrator_550
SKIP missing v2 narrator_551
SKIP missing v2 narrator_552
SKIP missing v2 narrator_553
SKIP missing v2 narrator_554
SKIP missing v2 narrator_555
SKIP missing v2 narrator_556
SKIP missing v2 narrator_557
SKIP missing v2 narrator_558
SKIP missing v2 narrator_559
SKIP missing v2 narrator_560
SKIP missing v2 narrator_561
SKIP missing v2 narrator_562
SKIP missing v2 narrator_563
SKIP missing v2 narrator_564
SKIP missing v2 narrator_565
SKIP missing v2 narrator_566
SKIP missing v2 narrator_567
SKIP missing v2 narrator_568
SKIP missing v2 narrator_569
SKIP missing v2 narrator_570
SKIP missing v2 narrator_571
SKIP missing v2 narrator_572
SKIP missing v2 narrator_573
SKIP missing v2 narrator_574
SKIP missing v2 narrator_575
SKIP missing v2 narrator_576
SKIP missing v2 narrator_577
SKIP missing v2 narrator_578
SKIP missing v2 narrator_579
SKIP missing v2 narrator_580
SKIP missing v2 narrator_581
SKIP missing v2 narrator_582
SKIP missing v2 narrator_583
SKIP missing v2 narrator_584
SKIP missing v2 narrator_585
SKIP missing v2 narrator_586
SKIP missing v2 narrator_587
SKIP missing v2 narrator_588
SKIP missing v2 narrator_589
PROMOTED toa_365
PROMOTED toa_378
PROMOTED toa_404
PROMOTED toa_418
PROMOTED toa_419
PROMOTED toa_420
PROMOTED toa_421
PROMOTED toa_422
PROMOTED toa_423
PROMOTED toa_424
PROMOTED toa_425
PROMOTED toa_426
PROMOTED toa_427
PROMOTED toa_428
PROMOTED toa_429
PROMOTED toa_430
PROMOTED toa_431
PROMOTED toa_432
PROMOTED toa_433
PROMOTED toa_434
PROMOTED toa_441
PROMOTED toa_443
PROMOTED toa_444
PROMOTED toa_446
PROMOTED toa_447
PROMOTED toa_449
PROMOTED toa_450
PROMOTED toa_452
PROMOTED toa_454
PROMOTED toa_455
PROMOTED toa_460
PROMOTED toa_462
PROMOTED toa_463
PROMOTED toa_464
PROMOTED toa_466
PROMOTED toa_467
PROMOTED toa_468
PROMOTED toa_469
PROMOTED toa_470
PROMOTED toa_471
PROMOTED toa_472
PROMOTED toa_473
PROMOTED toa_474
SKIP missing v2 toa_475
SKIP missing v2 toa_476
SKIP missing v2 toa_477
SKIP missing v2 toa_478
SKIP missing v2 toa_479
SKIP missing v2 toa_480
SKIP missing v2 toa_481
SKIP missing v2 toa_482
SKIP missing v2 toa_483
SKIP missing v2 toa_484
SKIP missing v2 toa_485
SKIP missing v2 toa_486
SKIP missing v2 toa_487
SKIP missing v2 toa_488
SKIP missing v2 toa_489
SKIP missing v2 toa_490
SKIP missing v2 toa_491
SKIP missing v2 toa_492
SKIP missing v2 toa_493
SKIP missing v2 toa_494
SKIP missing v2 toa_495
SKIP missing v2 toa_496
SKIP missing v2 toa_497
SKIP missing v2 toa_498
SKIP missing v2 toa_499
SKIP missing v2 toa_500
SKIP missing v2 toa_501
SKIP missing v2 toa_502
SKIP missing v2 toa_503
SKIP missing v2 toa_504
SKIP missing v2 toa_505
SKIP missing v2 toa_506
SKIP missing v2 toa_507
SKIP missing v2 toa_508
SKIP missing v2 toa_509
SKIP missing v2 toa_510
SKIP missing v2 toa_511
SKIP missing v2 toa_512
SKIP missing v2 toa_513
SKIP missing v2 toa_514
SKIP missing v2 toa_515
SKIP missing v2 toa_516
SKIP missing v2 toa_517
SKIP missing v2 toa_518
SKIP missing v2 toa_519
SKIP missing v2 toa_520
SKIP missing v2 toa_521
SKIP missing v2 toa_522
SKIP missing v2 toa_523
SKIP missing v2 toa_524
SKIP missing v2 toa_525
SKIP missing v2 toa_526
SKIP missing v2 toa_527
Promoted count: 221
Skipped (no v2): 163
Errors: 0
